Ngay,SanPham,SoLuong,DoanhThu
01/05/2026,Laptop Gaming,2,40000000
02/05/2026,Chuot Khong Day,15,15000000
03/05/2026,Ban Phim Co,8,16000000
04/05/2026,Man Hinh 2K,5,25000000
05/05/2026,Tai Nghe Bluetooth,10,15000000
06/05/2026,Lot Chuot,30,6000000
07/05/2026,Laptop Gaming,1,20000000
08/05/2026,Chuot Khong Day,20,20000000
09/05/2026,Webcam HD,12,12000000
10/05/2026,Ban Phim Co,5,10000000
11/05/2026,Cap Ket Noi,50,5000000
12/05/2026,Man Hinh 2K,3,15000000
13/05/2026,Tai Nghe Bluetooth,8,12000000
14/05/2026,Lot Chuot,25,5000000
15/05/2026,Laptop Gaming,3,60000000
16/05/2026,Chuot Khong Day,22,22000000
17/05/2026,Webcam HD,7,7000000
18/05/2026,Ban Phim Co,10,20000000
19/05/2026,Cap Ket Noi,40,4000000
20/05/2026,Man Hinh 2K,6,30000000
21/05/2026,Tai Nghe Bluetooth,15,22500000
22/05/2026,Lot Chuot,40,8000000
23/05/2026,Laptop Gaming,2,40000000
24/05/2026,Chuot Khong Day,18,18000000
27/05/2026,Cap Ket Noi,60,6000000
28/05/2026,Man Hinh 2K,4,20000000
29/05/2026,Tai Nghe Bluetooth,20,30000000
30/05/2026,Laptop Gaming,4,80000000
